reg_year,dat,dat_nm,regdatrs_nm,area_code,gss_name
2023,F05B,Birmingham,West Midlands,E08000025,Birmingham
2023,D01B,Kingston upon Hull,Yorkshire and Humberside,E06000010,Kingston upon Hull
2023,A07B,Newcastle upon Tyne,North East,E08000021,Newcastle upon Tyne
2023,H27B,Sutton,London,E09000029,Sutton
2023,D12B,Leeds,Yorkshire and Humberside,E08000035,Leeds
2023,B09B,Rochdale,North West,E08000005,Rochdale
2023,K12B,Wiltshire,South West,E06000054,Wiltshire
2023,F13B,Wolverhampton,West Midlands,E08000031,Wolverhampton
2023,K08B,Devon,South West,E10000008,Devon
2023,B17B,Liverpool,North West,E08000012,Liverpool
2023,H04B,Islington,London,E09000019,Islington
2023,J11B,East Sussex,South East,E10000011,East Sussex
2023,D07B,North Lincolnshire,Yorkshire and Humberside,E06000013,North Lincolnshire
2023,D08B,North East Lincolnshire,Yorkshire and Humberside,E06000012,North East Lincolnshire
2023,H19B,Greenwich,London,E09000011,Greenwich
2023,B14B,Bolton,North West,E08000001,Bolton
2023,G04B,Peterborough,Eastern,E06000031,Peterborough
2023,H33B,Hounslow,London,E09000018,Hounslow
2023,A06B,Stockton-on-Tees,North East,E06000004,Stockton-on-Tees
2023,A02B,County Durham,North East,E06000047,County Durham
2023,B04B,Blackpool,North West,E06000009,Blackpool
2023,J12B,West Sussex,South East,E10000032,West Sussex
2023,D16B,North Yorkshire,Yorkshire and Humberside,E10000023,North Yorkshire
2023,00EQ,Cheshire East,North West,E06000049,Cheshire East
2023,E05B,Derby,East Midlands,E06000015,Derby
2023,D09B,Barnsley,Yorkshire and Humberside,E08000016,Barnsley
2023,E06B,Nottinghamshire,East Midlands,E10000024,Nottinghamshire
2023,B22B,Wigan,North West,E08000010,Wigan
2023,B05B,Lancashire,North West,E10000017,Lancashire
2023,F03B,Staffordshire,West Midlands,E10000028,Staffordshire
2023,H09B,Southwark,London,E09000028,Southwark
2023,K17B,Dorset,South West,E06000059,Dorset
2023,G08B,Hertfordshire,Eastern,E10000015,Hertfordshire
2023,B19B,Sefton,North West,E08000014,Sefton
2023,G10B,Suffolk,Eastern,E10000029,Suffolk
2023,A12B,Sunderland,North East,E08000024,Sunderland
2023,H11B,Waltham Forest,London,E09000031,Waltham Forest
2023,A03B,Hartlepool,North East,E06000001,Hartlepool
2023,K13B,Cornwall & Isles of Scilly,South West,E06000052,Cornwall & Isles of Scilly
2023,B06B,Wirral,North West,E08000015,Wirral
2023,F04B,Stoke-on-Trent,West Midlands,E06000021,Stoke-on-Trent
2023,D03B,Calderdale,Yorkshire and Humberside,E08000033,Calderdale
2023,B11B,Knowsley,North West,E08000011,Knowsley
2023,F12B,Warwickshire,West Midlands,E10000031,Warwickshire
2023,H13B,Bexley,London,E09000004,Bexley
2023,H17B,Ealing,London,E09000009,Ealing
2023,A04B,Redcar and Cleveland,North East,E06000003,Redcar and Cleveland
2023,K11B,Swindon,South West,E06000030,Swindon
2023,G02B,Luton,Eastern,E06000032,Luton
2023,F11B,Walsall,West Midlands,E08000030,Walsall
2023,A05B,Middlesbrough,North East,E06000002,Middlesbrough
2023,J08B,Milton Keynes,South East,E06000042,Milton Keynes
2023,00EW,Cheshire West and Chester,North West,E06000050,Cheshire West and Chester
2023,E07B,Nottingham,East Midlands,E06000018,Nottingham
2023,B15B,Bury,North West,E08000002,Bury
2023,J09B,Oxfordshire,South East,E10000025,Oxfordshire
2023,H32B,Hillingdon,London,E09000017,Hillingdon
2023,B21B,Stockport,North West,E08000007,Stockport
2023,H15B,Bromley,London,E09000006,Bromley
2023,K04B,North Somerset,South West,E06000024,North Somerset
2023,A01B,Darlington,North East,E06000005,Darlington
2023,H10B,Redbridge,London,E09000026,Redbridge
2023,H06B,Hackney,London,E09000012,Hackney
2023,B18B,Manchester,North West,E08000003,Manchester
2023,H07B,Lambeth,London,E09000022,Lambeth
2023,H29B,Wandsworth,London,E09000032,Wandsworth
2023,F06B,Coventry,West Midlands,E08000026,Coventry
2023,J14B,Medway,South East,E06000035,Medway
2023,H28B,Tower Hamlets,London,E09000030,Tower Hamlets
2023,J01B,Bracknell Forest,South East,E06000036,Bracknell Forest
2023,F07B,Dudley,West Midlands,E08000027,Dudley
2023,A11B,South Tyneside,North East,E08000023,South Tyneside
2023,B02B,Trafford,North West,E08000009,Trafford
2023,G05B,Essex,Eastern,E10000012,Essex
2023,F02B,Telford and Wrekin,West Midlands,E06000020,Telford and Wrekin
2023,H21B,Haringey,London,E09000014,Haringey
2023,H12B,Barnet,London,E09000003,Barnet
2023,B07B,Warrington,North West,E06000007,Warrington
2023,B03B,Blackburn with Darwen,North West,E06000008,Blackburn with Darwen
2023,J17B,Southampton,South East,E06000045,Southampton
2023,F01B,Shropshire,West Midlands,E06000051,Shropshire
2023,E11B,North Northamptonshire,East Midlands,E06000061,North Northamptonshire
2023,D02B,East Riding of Yorkshire,Yorkshire and Humberside,E06000011,East Riding of Yorkshire
2023,F10B,Solihull,West Midlands,E08000029,Solihull
2023,J20B,Buckinghamshire,South East,E06000060,Buckinghamshire
2023,D10B,Wakefield,Yorkshire and Humberside,E08000036,Wakefield
2023,H01B,Barking and Dagenham,London,E09000002,Barking and Dagenham
2023,G03B,Cambridgeshire,Eastern,E10000003,Cambridgeshire
2023,H22B,Kensington and Chelsea,London,E09000020,Kensington and Chelsea
2023,D04B,Kirklees,Yorkshire and Humberside,E08000034,Kirklees
2023,H18B,Enfield,London,E09000010,Enfield
2023,K01B,Bath and North East Somerset,South West,E06000022,Bath and North East Somerset
2023,B01B,Salford,North West,E08000006,Salford
2023,J18B,Isle of Wight,South East,E06000046,Isle of Wight
2023,A09B,Gateshead,North East,E08000037,Gateshead
2023,B08B,Halton,North West,E06000006,Halton
2023,H30B,Westminster,London,E09000033,Westminster
2023,H03B,Camden,London,E09000007,Camden
2023,F09B,Sandwell,West Midlands,E08000028,Sandwell
2023,H23B,Kingston upon Thames,London,E09000021,Kingston upon Thames
2023,K14B,Gloucestershire,South West,E10000013,Gloucestershire
2023,00KC,Central Bedfordshire,Eastern,E06000056,Central Bedfordshire
2023,B10B,St Helens,North West,E08000013,St Helens
2023,D06B,York,Yorkshire and Humberside,E06000014,York
2023,H31B,Harrow,London,E09000015,Harrow
2023,H26B,Richmond upon Thames,London,E09000027,Richmond upon Thames
2023,E10B,North Northamptonshire,East Midlands,E06000061,North Northamptonshire
2023,H14B,Brent,London,E09000005,Brent
2023,E02B,Leicester,East Midlands,E06000016,Leicester
2023,H08B,Lewisham,London,E09000023,Lewisham
2023,B13B,Oldham,North West,E08000004,Oldham
2023,G07B,Thurrock,Eastern,E06000034,Thurrock
2023,J04B,West Berkshire,South East,E06000037,West Berkshire
2023,H24B,Merton,London,E09000024,Merton
2023,K09B,Plymouth,South West,E06000026,Plymouth
2023,00KB,Bedford,Eastern,E06000055,Bedford
2023,H02B,Havering,London,E09000016,Havering
2023,J02B,Reading,South East,E06000038,Reading
2023,K10B,Torbay,South West,E06000027,Torbay
2023,H20B,Hammersmith and Fulham,London,E09000013,Hammersmith and Fulham
2023,J06B,Wokingham,South East,E06000041,Wokingham
2023,B12B,Tameside,North West,E08000008,Tameside
2023,F08B,Herefordshire,West Midlands,E06000019,Herefordshire
2023,K03B,South Gloucestershire,South West,E06000025,South Gloucestershire
2023,J03B,Slough,South East,E06000039,Slough
2023,E03B,Rutland,East Midlands,E06000017,Rutland
2023,J05B,Windsor and Maidenhead,South East,E06000040,Windsor and Maidenhead
